linha,alpha.raw_alpha,alpha.std.alpha,alpha.G6(smc),alpha.average_r,alpha.S/N,alpha.ase,alpha.mean,alpha.sd,alpha.median_r
1,0.8956536022118682,0.9139546481730294,0.9844166246824434,0.24349714042837203,10.621778268870456,0.021314442532929946,4.170686456400742,0.5012111852170481,0.22362809365100728
2,0.8981847912409541,0.913728837587184,0.9856450529769356,0.24296922859134035,10.591358827587168,0.02077813583305126,4.15460729746444,0.5123678840050473,0.22742124148138143
3,0.8960490293678447,0.9122498501964444,0.9838870481914408,0.23956110866834482,10.395991941195303,0.021180362951755773,4.147186147186147,0.5087616178903278,0.22623192163734201
4,0.8963421917775286,0.912836909175803,0.9846797844722934,0.2409037143882633,10.472745981632785,0.02115355934288751,4.148423005565863,0.5097475359694895,0.22292842387453188
5,0.8976052647273703,0.9132972353770561,0.9838753553071921,0.24196583010807504,10.533657598449555,0.020871776611626557,4.159554730983302,0.5117151993970902,0.22700865956278082
6,0.8981675332186543,0.9137842001750222,0.9842069749025786,0.24309847034640772,10.598802099267736,0.020755228161814365,4.1521335807050095,0.5117792847201669,0.23085637696217576
7,0.8965631049546444,0.9121398099555507,0.9841644057375211,0.2393109191621116,10.381719064050403,0.021112139902532752,4.1478045763760045,0.5092739815228068,0.22544777644315733
8,0.8979331907073987,0.9130812246299702,0.9835092817568822,0.24146639567294145,10.504994125179614,0.02086203998335168,4.149659863945578,0.5105786403955912,0.22576515303508127
9,0.8947988530626008,0.9107607216708573,0.98317768846985365,0.2362141507268898,10.205827957412247,0.021485318817366414,4.145330859616574,0.506990450703218,0.21938651183044489
10,0.8966224906688187,0.9134015243434428,0.9834723690279716,0.24220761004085492,10.54754737214916,0.02110792817336643,4.167594310451453,0.5054077792180945,0.2286801779061419
11,0.8970887182417899,0.9125187384502744,0.9851581252881987,0.2401744090340375,10.431019423874977,0.02097090341144808,4.149041434755721,0.5101823892991657,0.22473584542706868
12,0.8984141044818286,0.9140429423009933,0.9847449892354528,0.243704112257978,10.63371602948149,0.020719306551490305,4.155225726654298,0.5124196971384926,0.2232551576646943
13,0.8972175370942882,0.9131975081835264,0.9833550713182948,0.24173502559437682,10.520406604389873,0.020973522425661688,4.1521335807050095,0.5117792847201669,0.22565550544038745
14,0.8972175370942882,0.9131975081835264,0.9833550713182948,0.24173502559437682,10.520406604389873,0.020973522425661688,4.1521335807050095,0.5117792847201669,0.22565550544038745
15,0.8972175370942882,0.9131975081835264,0.9833550713182948,0.24173502559437682,10.520406604389873,0.020973522425661688,4.1521335807050095,0.5117792847201669,0.22565550544038745
16,0.8973341115422876,0.9129289797574794,0.9853826109727483,0.2411154886844769,10.484877485237693,0.020951987868213607,4.150896722325294,0.5112556861709382,0.22329728290816514
17,0.8971300773984071,0.9130407763474545,0.9845746161088268,0.24137307884471104,10.499642683053409,0.020990700174036262,4.149659863945578,0.5105786403955912,0.2233794379170968
18,0.8971492682445936,0.9127730637439307,0.9843397163303421,0.24075705486127136,10.464348547842286,0.020973778591483635,4.150896722325294,0.5112556861709382,0.22467622182539665
19,0.8989575433822544,0.9142148007525478,0.9845221019117042,0.2441078641914565,10.657022525709172,0.020594125843690556,4.156462585034014,0.5124090301569546,0.2286801779061419
20,0.8993934003393188,0.9141653008805204,0.9836734672938352,0.2439914512088745,10.65030005648446,0.020495665241269098,4.161410018552876,0.5108400894571197,0.2287872482903014
21,0.8969364814941914,0.9131916493853238,0.983895841409063,0.24172147835973418,10.519629078529402,0.021018736685037617,4.151515151515151,0.5115366336625545,0.22575018861441465
22,0.8976132841460256,0.9134234025006492,0.9844149273849646,0.24225838591581628,10.550465470850806,0.02088770587958492,4.158317872603587,0.5121072149379092,0.22543965242533884
23,0.8964196662269248,0.9122214364766252,0.9838685416166912,0.23949646241254005,10.392303084724194,0.0211485815639272,4.148423005565863,0.5097475359694895,0.22459780762105314
24,0.8976052150455722,0.9135261437651323,0.9862860069112411,0.24249708517622479,10.564188802728356,0.02086580154074998,4.150896722325294,0.5112556861709382,0.22826910487825322
